[task 36] config=configs/smollm2_1.7b.yaml gen=3 seed=43
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/218 [00:00<?, ?it/s]Loading weights: 100%|██████████| 218/218 [00:00<00:00, 2446.19it/s]
perplexity (2213 chunks)...
  PPL check: new 12.932228 vs stored 12.932228 (delta +0.000000)
perplexity_ood_c4 (2000 chunks)...
  PPL check: new 24.651149 vs stored 24.651149 (delta +0.000000)
perplexity_ood_ccnews (2000 chunks)...
  PPL check: new 19.339306 vs stored 19.339306 (delta +0.000000)
perplexity_ood_wiki (2000 chunks)...
  PPL check: new 14.514627 vs stored 14.514627 (delta +0.000000)
{
  "perplexity": 12.932228057314743,
  "entropy": 2.015882428470307,
  "top1_prob": 0.5467304145843728,
  "perplexity_ood_c4": 24.651148808614536,
  "entropy_ood_c4": 2.6337152206187278,
  "top1_prob_ood_c4": 0.44751036633242086,
  "perplexity_ood_ccnews": 19.339306140284908,
  "entropy_ood_ccnews": 2.376166504726257,
  "top1_prob_ood_ccnews": 0.4800104815235481,
  "perplexity_ood_wiki": 14.514626519730912,
  "entropy_ood_wiki": 2.0661122858130314,
  "top1_prob_ood_wiki": 0.5414169630952155
}
